2025-09-20 02:57:01.342 | INFO     | key | session=d021721b save_chunk#1 file=chunk_1_4096.wav samples=4096 rms=0.011267
2025-09-20 02:57:01.353 | INFO     | key | session=d021721b save_chunk#2 file=chunk_2_4096.wav samples=4096 rms=0.015482
2025-09-20 02:57:01.363 | INFO     | key | session=d021721b save_chunk#3 file=chunk_3_4096.wav samples=4096 rms=0.016447
2025-09-20 02:57:01.374 | INFO     | key | session=d021721b save_chunk#4 file=chunk_4_4096.wav samples=4096 rms=0.014420
2025-09-20 02:57:01.388 | INFO     | key | session=d021721b save_chunk#5 file=chunk_5_4096.wav samples=4096 rms=0.015155
2025-09-20 02:57:01.401 | INFO     | key | session=d021721b save_chunk#6 file=chunk_6_4096.wav samples=4096 rms=0.010845
2025-09-20 02:57:01.412 | INFO     | key | session=d021721b save_chunk#7 file=chunk_7_4096.wav samples=4096 rms=0.010307
2025-09-20 02:57:01.482 | INFO     | key | session=d021721b save_chunk#8 file=chunk_8_4096.wav samples=4096 rms=0.011442
2025-09-20 02:57:01.739 | INFO     | key | session=d021721b save_chunk#9 file=chunk_9_4096.wav samples=4096 rms=0.021161
2025-09-20 02:57:01.998 | INFO     | key | session=d021721b save_chunk#10 file=chunk_10_4096.wav samples=4096 rms=0.019156
2025-09-20 02:57:02.254 | INFO     | key | session=d021721b save_chunk#11 file=chunk_11_4096.wav samples=4096 rms=0.020227
2025-09-20 02:57:02.510 | INFO     | key | session=d021721b save_chunk#12 file=chunk_12_4096.wav samples=4096 rms=0.026131
2025-09-20 02:57:02.759 | INFO     | key | session=d021721b save_chunk#13 file=chunk_13_4096.wav samples=4096 rms=0.017657
2025-09-20 02:57:03.018 | INFO     | key | session=d021721b save_chunk#14 file=chunk_14_4096.wav samples=4096 rms=0.010713
2025-09-20 02:57:03.282 | INFO     | key | session=d021721b save_chunk#15 file=chunk_15_4096.wav samples=4096 rms=0.014258
2025-09-20 02:57:03.529 | INFO     | key | session=d021721b save_chunk#16 file=chunk_16_4096.wav samples=4096 rms=0.020137
2025-09-20 02:57:03.794 | INFO     | key | session=d021721b save_chunk#17 file=chunk_17_4096.wav samples=4096 rms=0.017929
2025-09-20 02:57:04.039 | INFO     | key | session=d021721b save_chunk#18 file=chunk_18_4096.wav samples=4096 rms=0.016395
2025-09-20 02:57:04.302 | INFO     | key | session=d021721b save_chunk#19 file=chunk_19_4096.wav samples=4096 rms=0.014822
2025-09-20 02:57:04.650 | INFO     | key | session=d021721b save_chunk#20 file=chunk_20_4096.wav samples=4096 rms=0.013025
2025-09-20 02:57:04.813 | INFO     | key | session=d021721b save_chunk#21 file=chunk_21_4096.wav samples=4096 rms=0.008907
2025-09-20 02:57:05.068 | INFO     | key | session=d021721b save_chunk#22 file=chunk_22_4096.wav samples=4096 rms=0.012787
2025-09-20 02:57:05.320 | INFO     | key | session=d021721b save_chunk#23 file=chunk_23_4096.wav samples=4096 rms=0.012608
2025-09-20 02:57:05.580 | INFO     | key | session=d021721b save_chunk#24 file=chunk_24_4096.wav samples=4096 rms=0.014299
2025-09-20 02:57:05.840 | INFO     | key | session=d021721b save_chunk#25 file=chunk_25_4096.wav samples=4096 rms=0.016731
2025-09-20 02:57:06.091 | INFO     | key | session=d021721b save_chunk#26 file=chunk_26_4096.wav samples=4096 rms=0.013179
2025-09-20 02:57:06.348 | INFO     | key | session=d021721b save_chunk#27 file=chunk_27_4096.wav samples=4096 rms=0.014146
2025-09-20 02:57:06.600 | INFO     | key | session=d021721b save_chunk#28 file=chunk_28_4096.wav samples=4096 rms=0.012040
2025-09-20 02:57:06.865 | INFO     | key | session=d021721b save_chunk#29 file=chunk_29_4096.wav samples=4096 rms=0.010494
2025-09-20 02:57:07.149 | INFO     | key | session=d021721b save_chunk#30 file=chunk_30_4096.wav samples=4096 rms=0.014370
2025-09-20 02:57:07.373 | INFO     | key | session=d021721b save_chunk#31 file=chunk_31_4096.wav samples=4096 rms=0.026175
2025-09-20 02:57:07.630 | INFO     | key | session=d021721b save_chunk#32 file=chunk_32_4096.wav samples=4096 rms=0.021112
2025-09-20 02:57:07.880 | INFO     | key | session=d021721b save_chunk#33 file=chunk_33_4096.wav samples=4096 rms=0.016763
2025-09-20 02:57:08.144 | INFO     | key | session=d021721b save_chunk#34 file=chunk_34_4096.wav samples=4096 rms=0.018048
2025-09-20 02:57:08.399 | INFO     | key | session=d021721b save_chunk#35 file=chunk_35_4096.wav samples=4096 rms=0.024357
2025-09-20 02:57:08.651 | INFO     | key | session=d021721b save_chunk#36 file=chunk_36_4096.wav samples=4096 rms=0.017913
2025-09-20 02:57:08.911 | INFO     | key | session=d021721b save_chunk#37 file=chunk_37_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:09.160 | INFO     | key | session=d021721b save_chunk#38 file=chunk_38_4096.wav samples=4096 rms=0.025954
2025-09-20 02:57:09.430 | INFO     | key | session=d021721b save_chunk#39 file=chunk_39_4096.wav samples=4096 rms=0.017715
2025-09-20 02:57:09.687 | INFO     | key | session=d021721b save_chunk#40 file=chunk_40_4096.wav samples=4096 rms=0.017403
2025-09-20 02:57:09.932 | INFO     | key | session=d021721b save_chunk#41 file=chunk_41_4096.wav samples=4096 rms=0.016011
2025-09-20 02:57:10.196 | INFO     | key | session=d021721b save_chunk#42 file=chunk_42_4096.wav samples=4096 rms=0.009675
2025-09-20 02:57:10.440 | INFO     | key | session=d021721b save_chunk#43 file=chunk_43_4096.wav samples=4096 rms=0.011079
2025-09-20 02:57:10.702 | INFO     | key | session=d021721b save_chunk#44 file=chunk_44_4096.wav samples=4096 rms=0.012618
2025-09-20 02:57:10.963 | INFO     | key | session=d021721b save_chunk#45 file=chunk_45_4096.wav samples=4096 rms=0.014574
2025-09-20 02:57:11.271 | INFO     | key | session=d021721b save_chunk#46 file=chunk_46_4096.wav samples=4096 rms=0.015496
2025-09-20 02:57:11.470 | INFO     | key | session=d021721b save_chunk#47 file=chunk_47_4096.wav samples=4096 rms=0.018271
