2025-09-20 02:57:00.939 | INFO     | recognition | ✅ [streaming] 成功初始化 FunASR 模型 paraformer-zh-streaming
2025-09-20 02:57:59.585 | INFO     | recognition | ✅ [streaming] 成功初始化 FunASR 模型 paraformer-zh-streaming
2025-09-20 02:58:34.428 | INFO     | recognition | 📚 热词管理器加载完成: 静态6个, 动态0个, 用户学习0个
2025-09-20 02:58:37.853 | INFO     | recognition | ✅ [streaming] 成功初始化 FunASR 模型 paraformer-zh-streaming
2025-09-20 03:34:02.039 | INFO     | recognition | ✅ [streaming] 成功初始化 FunASR 模型 paraformer-zh-streaming
2025-09-20 03:34:03.649 | INFO     | recognition | 📚 热词管理器加载完成: 静态6个, 动态0个, 用户学习0个
2025-09-20 03:34:03.649 | INFO     | recognition | [streaming] 实时识别: '暂姆是'
2025-09-20 03:34:04.485 | INFO     | recognition | [streaming] 实时识别: '比结果'
2025-09-20 03:34:11.546 | INFO     | recognition | [streaming] 实时识别: '现在'
2025-09-20 03:34:12.588 | INFO     | recognition | [streaming] 实时识别: '识'
2025-09-20 03:34:13.382 | INFO     | recognition | [streaming] 实时识别: '别怎么'
2025-09-20 03:34:13.976 | INFO     | recognition | [streaming] 实时识别: '样呢'
2025-09-20 03:34:17.081 | INFO     | recognition | [streaming] 实时识别: '好'
2025-09-20 03:34:17.434 | INFO     | recognition | [streaming] 实时识别: '像'
2025-09-20 03:34:18.026 | INFO     | recognition | [streaming] 实时识别: '是'
2025-09-20 03:34:20.536 | INFO     | recognition | [streaming] 实时识别: '哎'
2025-09-20 03:34:21.194 | INFO     | recognition | [streaming] 实时识别: '现在是用'
2025-09-20 03:34:21.909 | INFO     | recognition | [streaming] 实时识别: '什么来识'
2025-09-20 03:34:22.327 | INFO     | recognition | [streaming] 实时识别: '别的'
2025-09-20 03:34:24.126 | INFO     | recognition | [streaming] 实时识别: '现在'
2025-09-20 03:34:24.658 | INFO     | recognition | [streaming] 实时识别: '是流速'
2025-09-20 03:34:25.421 | INFO     | recognition | [streaming] 实时识别: '识别吗'
2025-09-20 03:34:32.486 | INFO     | recognition | [streaming] 实时识别: ''
2025-09-20 03:34:33.660 | INFO     | recognition | [streaming] 实时识别: '好像是'
2025-09-20 03:34:34.575 | INFO     | recognition | [streaming] 实时识别: '有这十'
2025-09-20 03:34:35.874 | INFO     | recognition | [streaming] 实时识别: '边'
2025-09-20 03:34:37.197 | INFO     | recognition | [streaming] 🏁 最终确认句子 #1: '边'
2025-09-20 03:34:40.134 | INFO     | recognition | ✅ [streaming] 成功初始化 FunASR 模型 paraformer-zh-streaming
